#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000698194   7.49956425e+00  -4.48236507e+01   2.27794324e+03  -4.95640068e+02   1.65000000e+02   1.56954985e+02   9.53410941e+00           galaxy
  10430000698197   7.50234081e+00  -4.48224457e+01   2.32888380e+03  -4.34736830e+02   2.40500000e+03   2.38358986e+03   6.58046837e+00           galaxy
  10430000698198   7.50165534e+00  -4.48236674e+01   2.32527489e+03  -4.80577494e+02   3.50000000e+01   2.74751616e+01   1.14261966e+01           galaxy
  10430000698199   7.50095591e+00  -4.48235853e+01   2.30870053e+03  -4.83063882e+02   1.62150000e+04   1.61650916e+04   4.50210177e+00           galaxy
  10430000698405   7.60031026e+00  -4.47383804e+01   3.72686779e+03   3.09864853e+03   7.52000000e+02   7.39031166e+02   7.85189031e+00           galaxy
  10430000698919   7.50840041e+00  -4.48019426e+01   2.26668627e+03   2.93951045e+02   1.00000000e+01   9.73471344e+00   1.25527393e+01           galaxy
  10430000698920   7.51087251e+00  -4.48013847e+01   2.31706299e+03   3.31010315e+02   1.30200000e+04   1.29744222e+04   4.74082712e+00           galaxy
  10430000698921   7.50927321e+00  -4.48003666e+01   2.27109518e+03   3.53003021e+02   2.77000000e+02   2.67922581e+02   8.95352390e+00           galaxy
  10430000698924   7.51038364e+00  -4.48012207e+01   2.30443965e+03   3.32826145e+02   3.80000000e+01   3.01308230e+01   1.13260197e+01           galaxy
  10430000698925   7.50957983e+00  -4.47993792e+01   2.26843705e+03   3.88206434e+02   1.07000000e+02   9.98712888e+01   1.00249456e+01           galaxy
  10430000699037   7.58083620e+00  -4.48284056e+01   4.15753344e+03  -4.81849085e+01   2.09200000e+03   2.07263963e+03   6.73223770e+00           galaxy
  10430000699056   7.53665076e+00  -4.46891461e+01   1.81130028e+03   4.26513066e+03   1.93000000e+02   1.84540291e+02   9.35831919e+00           galaxy
  10430000699076   7.44757813e+00  -4.47515151e+01   4.03884070e+02   1.51969489e+03   2.29000000e+02   2.20440264e+02   9.16531988e+00           galaxy
  10430000699646   7.42633098e+00  -4.47513113e+01  -7.78766037e+01   1.36722066e+03   7.27060000e+04   7.26019294e+04   2.87117679e+00           galaxy
  10430000699648   7.61742143e+00  -4.47414810e+01   4.14353216e+03   3.12268105e+03   2.86000000e+02   2.76459293e+02   8.91946921e+00           galaxy
  10430000699649   7.61749397e+00  -4.47415405e+01   4.14574594e+03   3.12123808e+03   2.10000000e+01   1.98464988e+01   1.17793374e+01           galaxy
  10430000699885   7.61879151e+00  -4.47552970e+01   4.30792271e+03   2.67215133e+03   2.05000000e+02   1.96936572e+02   9.28773125e+00           galaxy
  10430000700517   7.42423735e+00  -4.47394233e+01  -2.40862133e+02   1.74766161e+03   6.95000000e+02   6.82485108e+02   7.93831424e+00           galaxy
  10430000700531   7.41136644e+00  -4.47750900e+01  -1.84198220e+02   4.62639849e+02   7.71000000e+02   7.58126032e+02   7.82419367e+00           galaxy
  10430000700532   7.43770690e+00  -4.46942932e+01  -3.75683948e+02   3.35259835e+03   1.03000000e+02   9.55036019e+01   1.00734978e+01           galaxy
  10430000700582   7.57457731e+00  -4.48018618e+01   3.75950773e+03   7.90249152e+02   8.45000000e+02   8.31180250e+02   7.72430915e+00           galaxy
  10430000702209   7.48555044e+00  -4.46730454e+01   4.99522780e+02   4.41943022e+03   2.37000000e+02   2.28206005e+02   9.12772952e+00           galaxy
  10430000702211   7.48710690e+00  -4.46735781e+01   5.39895517e+02   4.41333355e+03   1.00000000e+01   9.58264084e+00   1.25698342e+01           galaxy
  10430000702212   7.48463630e+00  -4.46720318e+01   4.69007017e+02   4.44636550e+03   3.87200000e+03   3.84618103e+03   6.06097289e+00           galaxy
  10430000702213   7.48710804e+00  -4.46722645e+01   5.27167589e+02   4.45712517e+03   2.55000000e+02   2.45946517e+02   9.04644550e+00           galaxy
  10430000702214   7.48634518e+00  -4.46723911e+01   5.11143635e+02   4.44719164e+03   2.54430000e+04   2.53810404e+04   4.01227364e+00           galaxy
  10430000702215   7.48466165e+00  -4.46709612e+01   4.59184940e+02   4.48223860e+03   2.55900000e+03   2.53784438e+03   6.51238472e+00           galaxy
  10430000702217   7.48752807e+00  -4.46732912e+01   5.46634985e+02   4.42605107e+03   3.25000000e+02   3.15288679e+02   8.77677625e+00           galaxy
  10430000702218   7.48451248e+00  -4.46714336e+01   4.60399136e+02   4.46537282e+03   1.00000000e+02   9.24695917e+01   1.01085498e+01           galaxy
  10430000702225   7.48703633e+00  -4.46735244e+01   5.37777988e+02   4.41459474e+03   1.15800000e+03   1.14209983e+03   7.37928703e+00           galaxy
  10430000702226   7.48513648e+00  -4.46723003e+01   4.82926210e+02   4.44116350e+03   4.95700000e+03   4.92797385e+03   5.79187620e+00           galaxy
  10430000702725   7.49011278e+00  -4.47426989e+01   1.27887821e+03   2.13198675e+03   2.09000000e+02   2.00867802e+02   9.26627138e+00           galaxy
  10430000702959   7.60553341e+00  -4.47678772e+01   4.12992696e+03   2.15395778e+03   2.50000000e+02   2.41457313e+02   9.06644628e+00           galaxy
  10430000704157   7.43471297e+00  -4.47888133e+01   4.76263220e+02   1.80346447e+02   3.72000000e+02   3.61906301e+02   8.62705683e+00           galaxy
  10430000704158   7.43137310e+00  -4.47876732e+01   3.89801264e+02   1.93318367e+02   5.46100000e+03   5.43080860e+03   5.68638595e+00           galaxy
  10430000704159   7.43143613e+00  -4.47878631e+01   3.93071816e+02   1.87461822e+02   3.07000000e+02   2.97927497e+02   8.83827072e+00           galaxy
  10430000704160   7.43342491e+00  -4.47876924e+01   4.36290228e+02   2.08050522e+02   4.06000000e+02   3.95875540e+02   8.52965052e+00           galaxy
  10430000704161   7.43163700e+00  -4.47874793e+01   3.93869846e+02   2.01757197e+02   2.30000000e+01   1.55397703e+01   1.20449357e+01           galaxy
  10430000704316   7.42363985e+00  -4.48005377e+01   3.40514666e+02  -2.93314693e+02   2.05000000e+02   1.96785154e+02   9.28856636e+00           galaxy
  10430000704956   7.57921521e+00  -4.47109855e+01   2.98515915e+03   3.85484171e+03   7.19000000e+02   7.06119953e+02   7.90135098e+00           galaxy
  10430000705075   7.42555965e+00  -4.47217845e+01  -3.82674508e+02   2.34535207e+03   1.22000000e+02   1.15001575e+02   9.87178772e+00           galaxy
  10430000705086   7.57408308e+00  -4.47799288e+01   3.53615083e+03   1.51785571e+03   4.87300000e+03   4.84387781e+03   5.81056424e+00           galaxy
  10430000705087   7.57444829e+00  -4.47794530e+01   3.53979411e+03   1.53644257e+03   1.00000000e+01   1.13799668e+01   1.23831947e+01           galaxy
  10430000705398   7.41178289e+00  -4.47493261e+01  -4.25696273e+02   1.32424458e+03   7.60000000e+01   6.88807296e+01   1.04283028e+01           galaxy
  10430000705797   7.63283433e+00  -4.47048611e+01   4.13841799e+03   4.45863749e+03   1.15000000e+02   1.07889606e+02   9.94109817e+00           galaxy
  10430000706443   7.47516153e+00  -4.46781588e+01   3.14246690e+02   4.17115709e+03   1.51800000e+03   1.50085312e+03   7.08270171e+00           galaxy
  10430000706471   7.61365438e+00  -4.46994589e+01   3.65248789e+03   4.49594520e+03   9.90000000e+01   9.22370731e+01   1.01112834e+01           galaxy
  10430000706517   7.50099250e+00  -4.46821142e+01   9.36761900e+02   4.23279726e+03   3.90000000e+01   3.20843375e+01   1.12578145e+01           galaxy
  10430000706518   7.50030279e+00  -4.46830153e+01   9.29909327e+02   4.19759869e+03   1.30000000e+01   2.25734653e+01   1.16395516e+01           galaxy
  10430000707270   7.61630624e+00  -4.46987820e+01   3.70592498e+03   4.53827491e+03   2.01800000e+03   1.99805636e+03   6.77202785e+00           galaxy
  10430000707280   7.59173868e+00  -4.47436987e+01   3.58457396e+03   2.85744689e+03   5.33000000e+02   5.21283581e+02   8.23086208e+00           galaxy
  10430000707281   7.59262181e+00  -4.47428077e+01   3.59591607e+03   2.89373703e+03   4.80000000e+01   4.07113587e+01   1.09992582e+01           galaxy
  10430000707282   7.59393354e+00  -4.47443456e+01   3.64042477e+03   2.85223088e+03   1.10000000e+01   1.26510739e+01   1.22682287e+01           galaxy
  10430000707343   7.56211521e+00  -4.48011175e+01   3.47100746e+03   7.22206860e+02   4.40000000e+02   4.29385112e+02   8.44142974e+00           galaxy
  10430000707674   7.57690461e+00  -4.48293994e+01   4.07844010e+03  -1.10588133e+02   8.12000000e+02   7.98395294e+02   7.76800227e+00           galaxy
