#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000698193   7.60518516e+00  -4.48366542e+01   3.96751767e+03   2.50509609e+03   5.64000000e+02   5.81317171e+02   8.11251431e+00           galaxy
  10430000698194   7.49956425e+00  -4.48236507e+01   1.92244771e+03   3.94024300e+03   1.48000000e+02   1.56954985e+02   9.53410941e+00           galaxy
  10430000698195   7.49675740e+00  -4.48235751e+01   1.86434708e+03   3.97015224e+03   5.40000000e+01   5.90122201e+01   1.05961923e+01           galaxy
  10430000698197   7.50234081e+00  -4.48224457e+01   1.99756595e+03   3.94951183e+03   2.34700000e+03   2.38358986e+03   6.58046837e+00           galaxy
  10430000698198   7.50165534e+00  -4.48236674e+01   1.96627920e+03   3.91916583e+03   2.50000000e+01   2.74751616e+01   1.14261966e+01           galaxy
  10430000698199   7.50095591e+00  -4.48235853e+01   1.95267386e+03   3.92853994e+03   1.57780000e+04   1.61650916e+04   4.50210177e+00           galaxy
  10430000698236   7.47534899e+00  -4.48817640e+01   6.11534633e+02   2.41379838e+03   9.10000000e+01   9.77055566e+01   1.00487490e+01           galaxy
  10430000698237   7.62090059e+00  -4.49152053e+01   3.21195522e+03  -3.31817112e+01   1.32700000e+03   1.35418628e+03   7.19435117e+00           galaxy
  10430000698919   7.50840041e+00  -4.48019426e+01   2.40797167e+03   4.51234419e+03   1.60000000e+01   9.73471344e+00   1.25527393e+01           galaxy
  10430000698920   7.51087251e+00  -4.48013847e+01   2.46777109e+03   4.50494501e+03   1.26180000e+04   1.29744222e+04   4.74082712e+00           galaxy
  10430000698921   7.50927321e+00  -4.48003666e+01   2.44810079e+03   4.55159774e+03   3.04000000e+02   2.67922581e+02   8.95352390e+00           galaxy
  10430000698924   7.51038364e+00  -4.48012207e+01   2.45972845e+03   4.51473668e+03   2.70000000e+01   3.01308230e+01   1.13260197e+01           galaxy
  10430000698925   7.50957983e+00  -4.47993792e+01   2.46817986e+03   4.57855540e+03   9.30000000e+01   9.98712888e+01   1.00249456e+01           galaxy
  10430000699031   7.47956205e+00  -4.48974226e+01   4.84471471e+02   1.89695698e+03   5.87500000e+03   6.15899733e+03   5.54977215e+00           galaxy
  10430000699035   7.49467933e+00  -4.49424420e+01   1.82056001e+02   3.81620942e+02   9.34000000e+02   9.56521733e+02   7.57181009e+00           galaxy
  10430000699037   7.58083620e+00  -4.48284056e+01   3.56881805e+03   2.99550895e+03   2.03800000e+03   2.07263963e+03   6.73223770e+00           galaxy
  10430000699038   7.47381824e+00  -4.48446195e+01   1.09103746e+03   3.55672893e+03   2.60000000e+01   2.90070296e+01   1.13672890e+01           galaxy
