#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000698171   7.63316274e+00  -4.47858517e+01   4.23720697e+03   2.24895826e+03   9.12000000e+02   8.89259245e+02   7.65097622e+00           galaxy
  10430000698405   7.60031026e+00  -4.47383804e+01   2.65219184e+03   3.10541420e+03   7.60000000e+02   7.39031166e+02   7.85189031e+00           galaxy
  10430000698919   7.50840041e+00  -4.48019426e+01   2.22666052e+03  -2.48138138e+01   1.00000000e+01   9.73471344e+00   1.25527393e+01           galaxy
  10430000698920   7.51087251e+00  -4.48013847e+01   2.26157314e+03   2.69886437e+01   1.30510000e+04   1.29744222e+04   4.74082712e+00           galaxy
  10430000698921   7.50927321e+00  -4.48003666e+01   2.21080451e+03   3.22453391e+01   2.83000000e+02   2.67922581e+02   8.95352390e+00           galaxy
  10430000698924   7.51038364e+00  -4.48012207e+01   2.24906268e+03   2.44570246e+01   3.40000000e+01   3.01308230e+01   1.13260197e+01           galaxy
  10430000698925   7.50957983e+00  -4.47993792e+01   2.19637054e+03   6.44848272e+01   1.11000000e+02   9.98712888e+01   1.00249456e+01           galaxy
  10430000699037   7.58083620e+00  -4.48284056e+01   4.12436759e+03   2.88379834e+02   2.10500000e+03   2.07263963e+03   6.73223770e+00           galaxy
  10430000699056   7.53665076e+00  -4.46891461e+01   4.51845791e+02   3.55976369e+03   1.98000000e+02   1.84540291e+02   9.35831919e+00           galaxy
  10430000699076   7.44757813e+00  -4.47515151e+01   5.59532791e+01   5.03041141e+02   2.34000000e+02   2.20440264e+02   9.16531988e+00           galaxy
  10430000699646   7.42633098e+00  -4.47513113e+01  -3.46349289e+02   1.97698391e+02   7.27780000e+04   7.26019294e+04   2.87117679e+00           galaxy
  10430000699648   7.61742143e+00  -4.47414810e+01   3.03667650e+03   3.26800623e+03   2.91000000e+02   2.76459293e+02   8.91946921e+00           galaxy
  10430000699649   7.61749397e+00  -4.47415405e+01   3.03925155e+03   3.26739184e+03   2.00000000e+01   1.98464988e+01   1.17793374e+01           galaxy
  10430000699885   7.61879151e+00  -4.47552970e+01   3.34425331e+03   2.89920591e+03   2.10000000e+02   1.96936572e+02   9.28773125e+00           galaxy
  10430000700582   7.57457731e+00  -4.48018618e+01   3.46518768e+03   9.43780302e+02   8.53000000e+02   8.31180250e+02   7.72430915e+00           galaxy
  10430000701667   7.64961454e+00  -4.47165815e+01   3.13342588e+03   4.43875624e+03   6.00000000e+01   4.85198291e+01   1.08087490e+01           galaxy
  10430000701987   7.66775977e+00  -4.47601866e+01   4.36323749e+03   3.47593198e+03   4.44000000e+02   4.27190811e+02   8.44699244e+00           galaxy
  10430000702725   7.49011278e+00  -4.47426989e+01   6.72988149e+02   1.37325227e+03   2.14000000e+02   2.00867802e+02   9.26627138e+00           galaxy
  10430000702959   7.60553341e+00  -4.47678772e+01   3.35212390e+03   2.35170158e+03   2.56000000e+02   2.41457313e+02   9.06644628e+00           galaxy
  10430000704956   7.57921521e+00  -4.47109855e+01   1.69702128e+03   3.56795373e+03   7.27000000e+02   7.06119953e+02   7.90135098e+00           galaxy
  10430000705086   7.57408308e+00  -4.47799288e+01   3.00815456e+03   1.55354902e+03   4.89200000e+03   4.84387781e+03   5.81056424e+00           galaxy
