#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000704316   7.42363985e+00  -4.48005377e+01   1.58156316e+03   3.50028642e+03   2.12000000e+02   1.96785154e+02   9.28856636e+00           galaxy
  10430000704524   7.35860119e+00  -4.48109203e+01   1.02069105e+02   4.04582379e+03   2.06600000e+03   2.02991521e+03   6.75485245e+00           galaxy
  10430000704525   7.35732228e+00  -4.48124869e+01   4.86429859e+01   4.01611477e+03   1.50000000e+01   1.39580265e+01   1.21614871e+01           galaxy
  10430000705369   7.37667678e+00  -4.47998887e+01   6.58804436e+02   4.13599819e+03   1.28000000e+02   1.15001657e+02   9.87178694e+00           galaxy
  10430000706363   7.35501015e+00  -4.48327094e+01  -3.58497890e+02   3.44644174e+03   2.62000000e+02   2.46204630e+02   9.04530665e+00           galaxy
  10430000706496   7.46075065e+00  -4.48669138e+01   1.13188618e+03   1.04498722e+03   7.90000000e+02   7.65833520e+02   7.81321126e+00           galaxy
  10430000706497   7.53364157e+00  -4.48741093e+01   2.45037620e+03  -1.25748591e+02   2.29000000e+02   2.13766861e+02   9.19869624e+00           galaxy
  10430000707343   7.56211521e+00  -4.48011175e+01   4.32419260e+03   1.66207811e+03   4.49000000e+02   4.29385112e+02   8.44142974e+00           galaxy
  10430000707641   7.43993835e+00  -4.49129164e+01  -1.04412404e+02  -4.58681485e+01   7.71000000e+02   7.47481986e+02   7.83954536e+00           galaxy
  10430000707655   7.39314423e+00  -4.48023081e+01   9.43237596e+02   3.84813925e+03   1.99000000e+02   1.83987770e+02   9.36157480e+00           galaxy
  10430000707674   7.57690461e+00  -4.48293994e+01   4.11082258e+03   6.29615107e+02   8.23000000e+02   7.98395294e+02   7.76800227e+00           galaxy
  10430000707834   7.49523594e+00  -4.48333577e+01   2.41764996e+03   1.58667051e+03   1.08130000e+04   1.07344416e+04   4.94659855e+00           galaxy
  10430000707835   7.49594773e+00  -4.48335397e+01   2.42853297e+03   1.57191984e+03   3.25000000e+02   3.08126751e+02   8.80172368e+00           galaxy
  10430000707836   7.49482414e+00  -4.48327491e+01   2.42036526e+03   1.61012045e+03   2.33100000e+03   2.29273889e+03   6.62266070e+00           galaxy
  10430000708290   7.43123847e+00  -4.49007997e+01  -6.04155149e+01   4.27482463e+02   3.69000000e+03   3.64262134e+03   6.12001212e+00           galaxy
  10430000708322   7.42343674e+00  -4.48894425e+01  -1.22456150e+01   8.66560180e+02   1.01000000e+02   8.78701505e+01   1.01639438e+01           galaxy
  10430000708560   7.48920788e+00  -4.48461977e+01   2.06798205e+03   1.28533014e+03   2.19000000e+02   2.03468349e+02   9.25230504e+00           galaxy
  10430000708634   7.40451747e+00  -4.48370362e+01   5.48739737e+02   2.66888140e+03   8.40000000e+01   7.11066055e+01   1.03937723e+01           galaxy
  10430000708635   7.40557779e+00  -4.48359101e+01   5.89950593e+02   2.68836829e+03   4.67100000e+03   4.61860613e+03   5.86226987e+00           galaxy
  10430000708689   7.42077429e+00  -4.48257896e+01   1.07303769e+03   2.78908159e+03   9.55000000e+02   9.28954564e+02   7.60356101e+00           galaxy
  10430000708807   7.44956823e+00  -4.48669278e+01   9.09508485e+02   1.19135017e+03   2.37000000e+02   2.21829881e+02   9.15849707e+00           galaxy
  10430000709412   7.48738780e+00  -4.48860882e+01   1.31763670e+03   1.26902290e+02   6.44300000e+03   6.38173526e+03   5.51120023e+00           galaxy
  10430000710056   7.46673239e+00  -4.47823215e+01   2.76461165e+03   3.47412818e+03   4.15000000e+02   3.96586192e+02   8.52770322e+00           galaxy
  10430000710057   7.46629151e+00  -4.47829974e+01   2.74374679e+03   3.45989004e+03   1.92280000e+04   1.91249914e+04   4.31954407e+00           galaxy
  10430000710058   7.46519355e+00  -4.47823759e+01   2.73302826e+03   3.49274777e+03   3.69800000e+03   3.65046219e+03   6.11767755e+00           galaxy
  10430000710847   7.34249969e+00  -4.48003638e+01  -2.98718298e+01   4.57017288e+03   7.20000000e+01   5.88931101e+01   1.05983860e+01           galaxy
  10430000711702   7.48955038e+00  -4.47934100e+01   3.01991774e+03   2.84540035e+03   3.13000000e+02   2.96414660e+02   8.84379799e+00           galaxy
