#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000698193   7.60518516e+00  -4.48366542e+01   1.78312420e+03   4.21616922e+03   6.00000000e+02   5.81317171e+02   8.11251431e+00           galaxy
  10430000698194   7.49956425e+00  -4.48236507e+01   1.22867725e+03   1.64706657e+03   1.69000000e+02   1.56954985e+02   9.53410941e+00           galaxy
  10430000698195   7.49675740e+00  -4.48235751e+01   1.22298916e+03   1.57807632e+03   6.90000000e+01   5.90122201e+01   1.05961923e+01           galaxy
  10430000698197   7.50234081e+00  -4.48224457e+01   1.19162190e+03   1.71861994e+03   2.41700000e+03   2.38358986e+03   6.58046837e+00           galaxy
  10430000698198   7.50165534e+00  -4.48236674e+01   1.23159127e+03   1.69856612e+03   1.80000000e+01   2.74751616e+01   1.14261966e+01           galaxy
  10430000698199   7.50095591e+00  -4.48235853e+01   1.22806348e+03   1.68153836e+03   1.62460000e+04   1.61650916e+04   4.50210177e+00           galaxy
  10430000698236   7.47534899e+00  -4.48817640e+01   3.13957951e+03   9.00642042e+02   1.08000000e+02   9.77055566e+01   1.00487490e+01           galaxy
  10430000698237   7.62090059e+00  -4.49152053e+01   4.42090676e+03   4.39637986e+03   1.38000000e+03   1.35418628e+03   7.19435117e+00           galaxy
  10430000698919   7.50840041e+00  -4.48019426e+01   5.14684664e+02   1.92103304e+03   1.00000000e+01   9.73471344e+00   1.25527393e+01           galaxy
  10430000698920   7.51087251e+00  -4.48013847e+01   4.98875996e+02   1.98343355e+03   1.30470000e+04   1.29744222e+04   4.74082712e+00           galaxy
  10430000698921   7.50927321e+00  -4.48003666e+01   4.63112466e+02   1.94663260e+03   2.82000000e+02   2.67922581e+02   8.95352390e+00           galaxy
  10430000698924   7.51038364e+00  -4.48012207e+01   4.92853203e+02   1.97180346e+03   2.70000000e+01   3.01308230e+01   1.13260197e+01           galaxy
  10430000698925   7.50957983e+00  -4.47993792e+01   4.30529670e+02   1.95674868e+03   1.11000000e+02   9.98712888e+01   1.00249456e+01           galaxy
  10430000699031   7.47956205e+00  -4.48974226e+01   3.66653336e+03   9.64063302e+02   6.21000000e+03   6.15899733e+03   5.54977215e+00           galaxy
  10430000699037   7.58083620e+00  -4.48284056e+01   1.47991339e+03   3.63778644e+03   2.10400000e+03   2.07263963e+03   6.73223770e+00           galaxy
  10430000699038   7.47381824e+00  -4.48446195e+01   1.89905378e+03   9.58507393e+02   2.60000000e+01   2.90070296e+01   1.13672890e+01           galaxy
  10430000699039   7.47478178e+00  -4.48448287e+01   1.90711047e+03   9.81711211e+02   2.21900000e+03   2.18716537e+03   6.67384314e+00           galaxy
