#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000698171   7.63316274e+00  -4.47858517e+01   2.39520400e+02   3.80838574e+03   8.99000000e+02   8.89259245e+02   7.65097622e+00           galaxy
  10430000698193   7.60518516e+00  -4.48366542e+01   2.01211489e+03   4.21062804e+03   5.90000000e+02   5.81317171e+02   8.11251431e+00           galaxy
  10430000698194   7.49956425e+00  -4.48236507e+01   2.99895837e+03   1.91138493e+03   1.86000000e+02   1.56954985e+02   9.53410941e+00           galaxy
  10430000698195   7.49675740e+00  -4.48235751e+01   3.03274334e+03   1.85534065e+03   5.80000000e+01   5.90122201e+01   1.05961923e+01           galaxy
  10430000698197   7.50234081e+00  -4.48224457e+01   2.92990982e+03   1.94290580e+03   2.27200000e+03   2.38358986e+03   6.58046837e+00           galaxy
  10430000698198   7.50165534e+00  -4.48236674e+01   2.97268411e+03   1.95239560e+03   2.70000000e+01   2.74751616e+01   1.14261966e+01           galaxy
  10430000698199   7.50095591e+00  -4.48235853e+01   2.97934118e+03   1.93724759e+03   1.59230000e+04   1.61650916e+04   4.50210177e+00           galaxy
  10430000698919   7.50840041e+00  -4.48019426e+01   2.28162583e+03   1.67771478e+03   1.20000000e+01   9.73471344e+00   1.25527393e+01           galaxy
  10430000698920   7.51087251e+00  -4.48013847e+01   2.23447846e+03   1.71542763e+03   1.27550000e+04   1.29744222e+04   4.74082712e+00           galaxy
  10430000698921   7.50927321e+00  -4.48003666e+01   2.22658752e+03   1.66526028e+03   2.75000000e+02   2.67922581e+02   8.95352390e+00           galaxy
  10430000698924   7.51038364e+00  -4.48012207e+01   2.23616458e+03   1.70284340e+03   2.90000000e+01   3.01308230e+01   1.13260197e+01           galaxy
  10430000698925   7.50957983e+00  -4.47993792e+01   2.19517668e+03   1.65278019e+03   9.80000000e+01   9.98712888e+01   1.00249456e+01           galaxy
  10430000699037   7.58083620e+00  -4.48284056e+01   2.09304991e+03   3.58250543e+03   1.96600000e+03   2.07263963e+03   6.73223770e+00           galaxy
  10430000699038   7.47381824e+00  -4.48446195e+01   3.91185070e+03   1.80241830e+03   2.80000000e+01   2.90070296e+01   1.13672890e+01           galaxy
  10430000699039   7.47478178e+00  -4.48448287e+01   3.90535170e+03   1.82507317e+03   2.07900000e+03   2.18716537e+03   6.67384314e+00           galaxy
  10430000699076   7.44757813e+00  -4.47515151e+01   1.65669191e+03  -4.49705575e+02   2.27000000e+02   2.20440264e+02   9.16531988e+00           galaxy
  10430000699077   7.46727983e+00  -4.48223992e+01   3.37705093e+03   1.25969510e+03   8.00000000e+01   8.13723859e+01   1.02473546e+01           galaxy
  10430000699438   7.50458458e+00  -4.48667736e+01   4.13528960e+03   2.81499644e+03   2.55000000e+03   2.66526622e+03   6.45919570e+00           galaxy
  10430000699439   7.50418988e+00  -4.48661362e+01   4.12258619e+03   2.79540671e+03   6.80000000e+01   6.91874234e+01   1.04234793e+01           galaxy
  10430000699479   7.48858500e+00  -4.48497927e+01   3.86704394e+03   2.18639095e+03   5.85600000e+03   6.01337624e+03   5.57575125e+00           galaxy
  10430000699480   7.48870576e+00  -4.48498363e+01   3.86671175e+03   2.18955373e+03   1.85000000e+02   1.55817624e+02   9.54200574e+00           galaxy
  10430000699643   7.57817838e+00  -4.48641604e+01   3.12295730e+03   4.19805492e+03   7.60000000e+01   7.73809614e+01   1.03019619e+01           galaxy
  10430000699885   7.61879151e+00  -4.47552970e+01  -4.28442616e+02   2.95835226e+03   2.03000000e+02   1.96936572e+02   9.28773125e+00           galaxy
  10430000700582   7.57457731e+00  -4.48018618e+01   1.43357423e+03   2.96518179e+03   8.41000000e+02   8.31180250e+02   7.72430915e+00           galaxy
  10430000701628   7.61492340e+00  -4.48308415e+01   1.72592558e+03   4.29188971e+03   4.10000000e+01   4.17649663e+01   1.09715169e+01           galaxy
  10430000702691   7.67448128e+00  -4.47839207e+01  -3.41418342e+02   4.57818338e+03   1.61000000e+02   1.36480025e+02   9.68587446e+00           galaxy
  10430000702725   7.49011278e+00  -4.47426989e+01   8.66425119e+02   2.14188734e+02   2.07000000e+02   2.00867802e+02   9.26627138e+00           galaxy
  10430000702890   7.50038458e+00  -4.48526011e+01   3.79440582e+03   2.46842669e+03   5.74600000e+03   5.90163974e+03   5.59611545e+00           galaxy
  10430000702891   7.50090122e+00  -4.48530132e+01   3.79927640e+03   2.48617990e+03   2.82000000e+02   2.75162552e+02   8.92457387e+00           galaxy
  10430000702959   7.60553341e+00  -4.47678772e+01   9.14224761e+01   2.93442641e+03   2.48000000e+02   2.41457313e+02   9.06644628e+00           galaxy
  10430000704157   7.43471297e+00  -4.47888133e+01   2.85936014e+03  -2.38157256e+00   3.69000000e+02   3.61906301e+02   8.62705683e+00           galaxy
  10430000704158   7.43137310e+00  -4.47876732e+01   2.87042111e+03  -8.87264575e+01   5.28000000e+03   5.43080860e+03   5.68638595e+00           galaxy
  10430000704159   7.43143613e+00  -4.47878631e+01   2.87489777e+03  -8.39455182e+01   3.05000000e+02   2.97927497e+02   8.83827072e+00           galaxy
  10430000704160   7.43342491e+00  -4.47876924e+01   2.84467150e+03  -4.84284326e+01   4.03000000e+02   3.95875540e+02   8.52965052e+00           galaxy
  10430000704161   7.43163700e+00  -4.47874793e+01   2.86164537e+03  -8.72180399e+01   1.50000000e+01   1.55397703e+01   1.20449357e+01           galaxy
  10430000704316   7.42363985e+00  -4.48005377e+01   3.32740754e+03   1.52029149e+00   2.03000000e+02   1.96785154e+02   9.28856636e+00           galaxy
  10430000705086   7.57408308e+00  -4.47799288e+01   8.28949933e+02   2.54617844e+03   4.70000000e+03   4.84387781e+03   5.81056424e+00           galaxy
  10430000705087   7.57444829e+00  -4.47794530e+01   8.11029051e+02   2.54441527e+03   1.10000000e+01   1.13799668e+01   1.23831947e+01           galaxy
  10430000705387   7.55938927e+00  -4.48878086e+01   4.02135966e+03   4.27390758e+03   1.11100000e+03   1.10111747e+03   7.41896305e+00           galaxy
