#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000698171   7.63316274e+00  -4.47858517e+01   1.39509496e+03   2.39287013e+03   9.04000000e+02   8.89259245e+02   7.65097622e+00           galaxy
  10430000698193   7.60518516e+00  -4.48366542e+01   3.20755236e+03   2.52732170e+03   5.94000000e+02   5.81317171e+02   8.11251431e+00           galaxy
  10430000698194   7.49956425e+00  -4.48236507e+01   3.95465707e+03  -2.44951225e+01   1.65000000e+02   1.56954985e+02   9.53410941e+00           galaxy
  10430000698195   7.49675740e+00  -4.48235751e+01   3.98258803e+03  -8.82570571e+01   6.60000000e+01   5.90122201e+01   1.05961923e+01           galaxy
  10430000698197   7.50234081e+00  -4.48224457e+01   3.88895426e+03   1.93930361e+01   2.40500000e+03   2.38358986e+03   6.58046837e+00           galaxy
  10430000698198   7.50165534e+00  -4.48236674e+01   3.93266816e+03   2.24118719e+01   3.50000000e+01   2.74751616e+01   1.14261966e+01           galaxy
  10430000698199   7.50095591e+00  -4.48235853e+01   3.93774561e+03   5.57476035e+00   1.62170000e+04   1.61650916e+04   4.50210177e+00           galaxy
  10430000698405   7.60031026e+00  -4.47383804e+01   3.34446815e+02   9.49031029e+02   7.52000000e+02   7.39031166e+02   7.85189031e+00           galaxy
  10430000698919   7.50840041e+00  -4.48019426e+01   3.21383034e+03  -1.52703773e+02   1.00000000e+01   9.73471344e+00   1.25527393e+01           galaxy
  10430000698920   7.51087251e+00  -4.48013847e+01   3.17064821e+03  -1.05882285e+02   1.30210000e+04   1.29744222e+04   4.74082712e+00           galaxy
  10430000698921   7.50927321e+00  -4.48003666e+01   3.15755768e+03  -1.56842085e+02   2.77000000e+02   2.67922581e+02   8.95352390e+00           galaxy
  10430000698924   7.51038364e+00  -4.48012207e+01   3.17102614e+03  -1.19253172e+02   3.80000000e+01   3.01308230e+01   1.13260197e+01           galaxy
  10430000698925   7.50957983e+00  -4.47993792e+01   3.12488467e+03  -1.64796433e+02   1.07000000e+02   9.98712888e+01   1.00249456e+01           galaxy
  10430000699037   7.58083620e+00  -4.48284056e+01   3.22319451e+03   1.86045991e+03   2.09300000e+03   2.07263963e+03   6.73223770e+00           galaxy
  10430000699643   7.57817838e+00  -4.48641604e+01   4.31590204e+03   2.33607773e+03   8.50000000e+01   7.73809614e+01   1.03019619e+01           galaxy
  10430000699648   7.61742143e+00  -4.47414810e+01   2.42991615e+02   1.37797719e+03   2.86000000e+02   2.76459293e+02   8.91946921e+00           galaxy
