#    object_id            ra              dec               x                y          realized_flux         flux             mag            obj_type     
  10430000698193   7.60518516e+00  -4.48366542e+01  -1.83328320e+02   2.03221825e+03   5.60000000e+02   5.81317171e+02   8.11251431e+00           galaxy
  10430000698194   7.49956425e+00  -4.48236507e+01   2.26560047e+03   1.49521163e+03   1.46000000e+02   1.56954985e+02   9.53410941e+00           galaxy
  10430000698195   7.49675740e+00  -4.48235751e+01   2.33108942e+03   1.49018596e+03   5.30000000e+01   5.90122201e+01   1.05961923e+01           galaxy
  10430000698197   7.50234081e+00  -4.48224457e+01   2.19895701e+03   1.45656352e+03   2.34000000e+03   2.38358986e+03   6.58046837e+00           galaxy
  10430000698198   7.50165534e+00  -4.48236674e+01   2.21675420e+03   1.49760307e+03   2.40000000e+01   2.74751616e+01   1.14261966e+01           galaxy
  10430000698199   7.50095591e+00  -4.48235853e+01   2.23298100e+03   1.49419400e+03   1.60490000e+04   1.61650916e+04   4.50210177e+00           galaxy
  10430000698236   7.47534899e+00  -4.48817640e+01   2.91543415e+03   3.45487254e+03   8.90000000e+01   9.77055566e+01   1.00487490e+01           galaxy
  10430000698919   7.50840041e+00  -4.48019426e+01   2.02746239e+03   7.63057799e+02   6.00000000e+00   9.73471344e+00   1.25527393e+01           galaxy
  10430000698920   7.51087251e+00  -4.48013847e+01   1.96885241e+03   7.46208123e+02   1.28710000e+04   1.29744222e+04   4.74082712e+00           galaxy
  10430000698921   7.50927321e+00  -4.48003666e+01   2.00475991e+03   7.10107924e+02   2.54000000e+02   2.67922581e+02   8.95352390e+00           galaxy
  10430000698924   7.51038364e+00  -4.48012207e+01   1.98004300e+03   7.40190244e+02   2.60000000e+01   3.01308230e+01   1.13260197e+01           galaxy
  10430000698925   7.50957983e+00  -4.47993792e+01   1.99615191e+03   6.76723426e+02   9.20000000e+01   9.98712888e+01   1.00249456e+01           galaxy
  10430000699031   7.47956205e+00  -4.48974226e+01   2.83970215e+03   3.99222023e+03   6.08800000e+03   6.15899733e+03   5.54977215e+00           galaxy
  10430000699037   7.58083620e+00  -4.48284056e+01   3.73311872e+02   1.72917049e+03   2.03200000e+03   2.07263963e+03   6.73223770e+00           galaxy
  10430000699038   7.47381824e+00  -4.48446195e+01   2.89757144e+03   2.18753140e+03   2.50000000e+01   2.90070296e+01   1.13672890e+01           galaxy
  10430000699039   7.47478178e+00  -4.48448287e+01   2.87536239e+03   2.19549487e+03   2.14500000e+03   2.18716537e+03   6.67384314e+00           galaxy
  10430000699077   7.46727983e+00  -4.48223992e+01   3.01832044e+03   1.42453766e+03   7.40000000e+01   8.13723859e+01   1.02473546e+01           galaxy
  10430000699438   7.50458458e+00  -4.48667736e+01   2.21103702e+03   2.96935546e+03   2.61900000e+03   2.66526622e+03   6.45919570e+00           galaxy
  10430000699439   7.50418988e+00  -4.48661362e+01   2.21932698e+03   2.94728481e+03   6.20000000e+01   6.91874234e+01   1.04234793e+01           galaxy
  10430000699479   7.48858500e+00  -4.48497927e+01   2.56007702e+03   2.37665352e+03   5.94300000e+03   6.01337624e+03   5.57575125e+00           galaxy
  10430000699480   7.48870576e+00  -4.48498363e+01   2.55731904e+03   2.37824188e+03   1.45000000e+02   1.55817624e+02   9.54200574e+00           galaxy
  10430000699643   7.57817838e+00  -4.48641604e+01   4.88526612e+02   2.94537984e+03   7.00000000e+01   7.73809614e+01   1.03019619e+01           galaxy
  10430000700171   7.42034331e+00  -4.48994789e+01   4.22489176e+03   4.01157105e+03   4.32900000e+03   4.38896007e+03   5.91764312e+00           galaxy
